Date;Fitted_values
08/07/2002;-160.7379105
09/07/2002;-177.7110415
10/07/2002;-216.5107819
11/07/2002;-210.3810277
12/07/2002;-213.0569808
15/07/2002;-214.4714701
16/07/2002;-230.3586176
17/07/2002;-223.3479336
18/07/2002;-237.8204884
19/07/2002;-270.0460836
22/07/2002;-297.7519315
23/07/2002;-325.1872218
24/07/2002;-282.5706862
25/07/2002;-280.039796
26/07/2002;-262.0521897
29/07/2002;-213.7640467
30/07/2002;-198.7019291
31/07/2002;-184.792194
01/08/2002;-205.0548614
02/08/2002;-229.8072307
05/08/2002;-262.7203606
06/08/2002;-239.5572105
07/08/2002;-215.6339427
08/08/2002;-184.2154024
09/08/2002;-178.5918395
12/08/2002;-182.4266252
13/08/2002;-201.5720825
14/08/2002;-168.2763414
15/08/2002;-152.6740658
16/08/2002;-153.3188397
19/08/2002;-126.3096913
20/08/2002;-126.4618415
21/08/2002;-114.8014809
22/08/2002;-98.29108471
23/08/2002;-115.8400896
26/08/2002;-108.271679
27/08/2002;-117.6776355
28/08/2002;-131.8426254
29/08/2002;-125.204292
30/08/2002;-121.5307722
03/09/2002;-153.1419501
04/09/2002;-142.9346657
05/09/2002;-159.2330874
06/09/2002;-144.706412
09/09/2002;-132.5196806
10/09/2002;-126.8889965
11/09/2002;-124.2321439
12/09/2002;-145.6820575
13/09/2002;-139.1646714
16/09/2002;-139.0642265
17/09/2002;-155.8235314
18/09/2002;-162.714461
19/09/2002;-188.3552677
20/09/2002;-191.0268332
23/09/2002;-203.8012267
24/09/2002;-219.6725551
25/09/2002;-201.2219969
26/09/2002;-186.5655825
27/09/2002;-212.7081613
30/09/2002;-229.7206293
01/10/2002;-194.3071829
02/10/2002;-198.6006806
03/10/2002;-210.4946327
04/10/2002;-230.1190112
07/10/2002;-243.667396
08/10/2002;-229.1342388
09/10/2002;-245.2087975
10/10/2002;-216.1665523
11/10/2002;-172.6426461
14/10/2002;-155.336506
15/10/2002;-105.888746
16/10/2002;-121.919014
17/10/2002;-104.4513351
18/10/2002;-96.29486712
21/10/2002;-76.6537359
22/10/2002;-86.0691041
23/10/2002;-79.52328388
24/10/2002;-90.10763162
25/10/2002;-71.13779799
28/10/2002;-78.91344796
29/10/2002;-87.02059689
30/10/2002;-79.61772023
31/10/2002;-80.5737252
01/11/2002;-67.12772437
04/11/2002;-58.74105527
05/11/2002;-49.94852851
06/11/2002;-41.74677805
07/11/2002;-65.65739107
08/11/2002;-75.56649575
11/11/2002;-95.58198083
12/11/2002;-89.0238313
13/11/2002;-80.21593824
14/11/2002;-59.56763691
15/11/2002;-50.1942217
18/11/2002;-55.86513844
19/11/2002;-59.27027772
20/11/2002;-37.7347608
21/11/2002;-13.51328696
22/11/2002;-8.966366236
25/11/2002;-3.532548202
26/11/2002;-18.4785225
27/11/2002;5.756103556
29/11/2002;2.756989928
02/12/2002;0.180641947
03/12/2002;-14.33338965
04/12/2002;-20.97758848
05/12/2002;-31.49960081
06/12/2002;-25.3370778
09/12/2002;-42.22726337
10/12/2002;-34.26908185
11/12/2002;-32.47048629
12/12/2002;-36.06033161
13/12/2002;-46.62017556
16/12/2002;-29.78123312
17/12/2002;-35.70398761
18/12/2002;-48.36550367
19/12/2002;-58.75165114
20/12/2002;-50.68421208
23/12/2002;-47.32817393
24/12/2002;-51.93249411
26/12/2002;-54.41335939
27/12/2002;-60.83520998
30/12/2002;-60.08856003
31/12/2002;-58.31291457
02/01/2003;-25.98125006
03/01/2003;-22.08522921
06/01/2003;1.246899418
07/01/2003;-1.8577955
08/01/2003;-9.260027797
09/01/2003;10.64088118
10/01/2003;17.95761824
13/01/2003;15.80667819
14/01/2003;17.35448619
15/01/2003;3.717333182
16/01/2003;-0.05862338
17/01/2003;-15.47510188
21/01/2003;-29.92060884
22/01/2003;-39.83147512
23/01/2003;-28.30917862
24/01/2003;-56.00347655
27/01/2003;-72.96798043
28/01/2003;-64.72555332
29/01/2003;-54.53636121
30/01/2003;-76.77198138
31/01/2003;-69.50536826
03/02/2003;-63.24202989
04/02/2003;-74.70952474
05/02/2003;-84.25985062
06/02/2003;-90.56422277
07/02/2003;-98.56856213
10/02/2003;-91.73612043
11/02/2003;-89.56236848
12/02/2003;-102.4082276
13/02/2003;-104.0751074
14/02/2003;-85.03676603
18/02/2003;-64.98062676
19/02/2003;-67.04199221
20/02/2003;-74.4343161
21/02/2003;-58.10278859
24/02/2003;-68.7590223
25/02/2003;-59.14817166
26/02/2003;-70.79295448
27/02/2003;-64.66399459
28/02/2003;-59.70086253
03/03/2003;-64.06768172
04/03/2003;-78.47672148
05/03/2003;-70.15801284
06/03/2003;-74.4718212
07/03/2003;-64.68612725
10/03/2003;-86.51439613
11/03/2003;-94.21899329
12/03/2003;-92.26596299
13/03/2003;-61.39116402
14/03/2003;-58.45760852
17/03/2003;-29.79912515
18/03/2003;-22.64617091
19/03/2003;-13.60844559
20/03/2003;-13.20995228
21/03/2003;8.086020126
24/03/2003;-19.89205367
25/03/2003;-11.42419245
26/03/2003;-7.764113606
27/03/2003;-10.12306487
28/03/2003;-14.88964818
31/03/2003;-30.71966047
01/04/2003;-22.02696603
02/04/2003;3.138501364
03/04/2003;2.644769601
04/04/2003;8.815604821
07/04/2003;12.78800261
08/04/2003;16.09697777
09/04/2003;3.394896125
10/04/2003;4.268974102
11/04/2003;0.980183366
14/04/2003;18.82826654
15/04/2003;25.25794277
16/04/2003;16.10880093
17/04/2003;30.39372906
21/04/2003;33.10858639
22/04/2003;52.70010886
23/04/2003;63.14024841
24/04/2003;55.5715898
25/04/2003;42.6827813
28/04/2003;55.02621926
29/04/2003;57.33435695
30/04/2003;56.20622875
01/05/2003;53.54242037
02/05/2003;64.04711257
05/05/2003;60.92420912
06/05/2003;69.88238275
07/05/2003;65.8347886
08/05/2003;63.23999104
09/05/2003;73.73181419
12/05/2003;87.32994373
13/05/2003;86.69927702
14/05/2003;82.34385532
15/05/2003;89.5048069
16/05/2003;88.98687439
19/05/2003;69.09962972
20/05/2003;67.48374976
21/05/2003;74.18423185
22/05/2003;82.62126065
23/05/2003;80.61073942
27/05/2003;97.75981041
28/05/2003;101.1730591
29/05/2003;96.76506135
30/05/2003;111.3528591
02/06/2003;117.069948
03/06/2003;124.5486157
04/06/2003;137.6599956
05/06/2003;143.1603629
06/06/2003;140.2586515
09/06/2003;128.7789356
10/06/2003;133.2491308
11/06/2003;143.7098271
12/06/2003;144.886129
13/06/2003;133.0733092
16/06/2003;149.9049314
17/06/2003;151.5312844
18/06/2003;150.7552904
19/06/2003;134.6332809
20/06/2003;140.7682931
23/06/2003;124.3466424
24/06/2003;124.365624
25/06/2003;116.0595013
26/06/2003;124.6735087
27/06/2003;115.3640846
30/06/2003;112.9960385
01/07/2003;124.515514
02/07/2003;138.6763101
03/07/2003;134.5843981
07/07/2003;151.0168925
08/07/2003;152.1813525
09/07/2003;145.6012575
10/07/2003;130.8959318
11/07/2003;137.5188137
14/07/2003;144.3743898
15/07/2003;141.7480814
16/07/2003;136.1874032
17/07/2003;120.5998689
18/07/2003;130.8899437
21/07/2003;115.9863218
22/07/2003;124.7075566
23/07/2003;121.7284571
24/07/2003;111.3540168
25/07/2003;126.3458035
28/07/2003;124.3573596
29/07/2003;112.5979852
30/07/2003;108.0801194
31/07/2003;111.2268967
01/08/2003;102.129863
04/08/2003;110.0404745
05/08/2003;90.70697612
06/08/2003;90.48934841
07/08/2003;97.97327253
08/08/2003;101.0265941
11/08/2003;104.3198466
12/08/2003;114.6247642
13/08/2003;113.2422981
14/08/2003;120.838638
15/08/2003;124.652796
18/08/2003;132.2460087
19/08/2003;131.681059
20/08/2003;128.4492238
21/08/2003;131.3189784
22/08/2003;119.6580419
25/08/2003;119.433491
26/08/2003;122.7092564
27/08/2003;124.9894285
28/08/2003;129.1257391
29/08/2003;134.0438467
02/09/2003;147.7769083
03/09/2003;153.8611366
04/09/2003;152.5020582
05/09/2003;142.9145857
08/09/2003;150.946018
09/09/2003;142.1714628
10/09/2003;124.939124
11/09/2003;127.2399579
12/09/2003;130.0515399
15/09/2003;127.1698319
16/09/2003;146.9368929
17/09/2003;143.3012338
18/09/2003;156.5126285
19/09/2003;154.4373307
22/09/2003;139.5669564
23/09/2003;144.2590731
24/09/2003;125.1204247
25/09/2003;121.1032938
26/09/2003;114.4988322
29/09/2003;126.2912133
30/09/2003;114.1377177
01/10/2003;130.8843665
02/10/2003;133.1208518
03/10/2003;143.160022
06/10/2003;146.9443694
07/10/2003;152.4864798
08/10/2003;148.0464476
09/10/2003;154.3300599
